                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.73033,                 2.3423,                 1.2056,                0.00333,                      1,                   0.98,                0.86225,                0.32117,                  2.874,                0.93909,                 0.0865,                 0.0015,                 0.0015
                      1,                0.63026,                 1.5124,                 1.1127,                0.48118,                      1,                0.97437,                0.90232,                0.32761,                 2.5911,                0.89122,               0.072039,              0.0030386,              0.0030386
                      2,                0.62164,                 1.1032,                 1.0982,                0.99853,                0.93333,                0.98794,                0.81993,                0.54266,                 2.5912,                 1.1698,               0.057514,              0.0045139,              0.0045139
                      3,                0.67523,                 1.0092,                 1.1151,                      1,                0.80855,                  0.995,                0.88732,                0.45421,                 2.3167,                 1.0023,               0.042926,              0.0059258,              0.0059258
                      4,                0.69741,                0.96899,                 1.1608,                0.99259,                0.86667,                0.96911,                0.69609,                0.78604,                 2.1404,                  1.437,               0.028274,              0.0072743,              0.0072743
                      5,                0.66978,                0.98272,                 1.1061,                      1,                 0.7031,                0.98688,                0.79521,                0.58404,                 2.2408,                 1.1217,                0.01356,              0.0085595,              0.0085595
                      6,                0.70439,                0.89937,                 1.0962,                      1,                0.86584,                  0.995,                0.77689,                0.82759,                 1.9569,                 1.3941,               0.008812,               0.008812,               0.008812
                      7,                0.74126,                0.97632,                 1.1537,                      1,                0.99712,                  0.995,                0.79358,                 0.6948,                 1.8495,                 1.1974,               0.008812,               0.008812,               0.008812
                      8,                0.68607,                 0.9522,                 1.1185,                0.97355,                      1,                  0.995,                0.81776,                0.67599,                 1.5325,                 1.1743,               0.008614,               0.008614,               0.008614
                      9,                0.70376,                0.83958,                 1.0886,                0.99451,                      1,                  0.995,                0.77662,                0.71881,                 1.4844,                 1.2454,               0.008416,               0.008416,               0.008416
                     10,                0.74376,                 0.8576,                  1.124,                0.92872,                0.93333,                0.92312,                0.76702,                0.71259,                 1.3016,                 1.2371,               0.008218,               0.008218,               0.008218
                     11,                0.69888,                0.88835,                 1.1051,                      1,                0.98848,                  0.995,                0.72143,                0.91375,                 1.4644,                 1.4956,                0.00802,                0.00802,                0.00802
                     12,                0.66732,                0.86915,                 1.1286,                0.99426,                      1,                  0.995,                0.80941,                0.64282,                 1.0769,                 1.1766,               0.007822,               0.007822,               0.007822
                     13,                0.61991,                0.78939,                 1.1082,                0.99722,                0.93333,                0.96962,                0.76182,                0.74301,                 1.1199,                 1.2914,               0.007624,               0.007624,               0.007624
                     14,                0.67261,                0.80883,                  1.115,                0.99293,                      1,                  0.995,                0.74385,                0.85067,                 1.1111,                 1.4205,               0.007426,               0.007426,               0.007426
                     15,                0.71624,                0.87361,                 1.1393,                0.96636,                0.93333,                   0.96,                0.61068,                 1.1991,                  1.587,                  2.101,               0.007228,               0.007228,               0.007228
